2026-06-12T00:42:20.205Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:25:42.200Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:25:34.058Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:25:31.018Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:25:22.574Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:10:44.345Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:10:18.366Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:05:20.026Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-12T00:05:08.134Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-11T23:53:18.923Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-11T23:53:06.565Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-lyrics
2026-06-11T23:47:32.762Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/process-audio
2026-06-11T23:47:32.445Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/process-audio
2026-06-11T23:47:31.920Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/process-audio
2026-06-11T23:47:31.566Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:47:31.271Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:47:13.677Z | POST | 500 | POST | 500 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-11T23:46:59.299Z | POST | 500 | POST | 500 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/payment-webhook
2026-06-11T23:35:24.242Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:35:23.990Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:35:17.769Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:35:16.946Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:35:10.236Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:35:09.941Z | OPTIONS | 200 | OPTIONS | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
2026-06-11T23:35:03.107Z | POST | 200 | POST | 200 | https://hkakmdpqbbsstacpgpqe.supabase.co/functions/v1/generate-music?action=status&taskId=13b9aae99d1f59481e3460ebbbb455b7
